iter	Passed	Remaining
0	18	18773
1	37	18509
2	55	18294
3	79	19742
4	101	20115
5	121	20098
6	139	19838
7	159	19801
8	177	19594
9	195	19335
10	217	19529
11	240	19761
12	258	19629
13	277	19556
14	299	19675
15	320	19722
16	339	19647
17	361	19744
18	417	21531
19	607	29747
20	656	30582
21	699	31097
22	732	31114
23	756	30752
24	777	30336
25	796	29844
26	815	29389
27	838	29099
28	866	29003
29	888	28720
30	905	28302
31	926	28028
32	978	28675
33	1024	29116
34	1047	28869
35	1068	28610
36	1094	28476
37	1115	28228
38	1133	27918
39	1151	27631
40	1170	27370
41	1188	27110
42	1208	26906
43	1227	26663
44	1247	26474
45	1269	26318
46	1286	26081
47	1303	25846
48	1322	25662
49	1341	25481
50	1360	25324
51	1379	25155
52	1396	24957
53	1416	24814
54	1436	24674
55	1454	24526
56	1473	24382
57	1493	24253
58	1514	24159
59	1537	24095
60	1556	23956
61	1576	23847
62	1596	23739
63	1613	23603
64	1633	23504
65	1655	23434
66	1674	23323
67	1693	23214
68	1713	23118
69	1731	22999
70	1749	22885
71	1767	22781
72	1787	22696
73	1808	22636
74	1827	22539
75	1844	22428
76	1866	22375
77	1883	22263
78	1900	22153
79	1917	22051
80	1938	21991
81	1957	21916
82	1975	21828
83	1992	21726
84	2008	21624
85	2026	21533
86	2042	21438
87	2062	21373
88	2082	21312
89	2099	21232
90	2117	21156
91	2136	21086
92	2155	21022
93	2174	20957
94	2192	20886
95	2209	20805
96	2226	20725
97	2244	20654
98	2262	20587
99	2282	20545
100	2303	20505
101	2323	20452
102	2342	20402
103	2366	20391
104	2386	20341
105	2405	20284
106	2424	20237
107	2442	20177
108	2461	20122
109	2480	20070
110	2499	20014
111	2520	19984
112	2543	19968
113	2562	19918
114	2580	19860
115	2599	19812
116	2617	19752
117	2639	19731
118	2657	19675
119	2675	19622
120	2696	19585
121	2715	19546
122	2735	19504
123	2757	19479
124	2776	19435
125	2795	19388
126	2817	19364
127	2835	19317
128	2854	19275
129	2873	19232
