iter	BalancedAccuracy	Logloss
0	0.7154857413	0.6240971767
1	0.6955129008	0.5709019296
2	0.692681858	0.5238667105
3	0.6858558619	0.493819112
4	0.6835164835	0.4655700006
5	0.6833098978	0.4422457771
6	0.6836879159	0.4284596611
7	0.6876900926	0.4156324682
8	0.6867481773	0.4047622792
9	0.6897805087	0.39510474
10	0.6987185908	0.3856899732
11	0.6942391964	0.3791741405
12	0.6966146912	0.3741776843
13	0.6959299246	0.3703781773
14	0.697920178	0.3653303862
15	0.6982981961	0.3629968948
16	0.7005239283	0.3600767642
17	0.7015226666	0.3572394666
18	0.7040551473	0.3553259608
19	0.7056457127	0.3523194096
20	0.7077216823	0.3503113508
21	0.7067942137	0.3478904461
22	0.7075574732	0.3460509364
23	0.710467972	0.3439192535
24	0.7126007647	0.3418972584
25	0.7118302819	0.3409100701
26	0.7155112635	0.3397000361
27	0.7175087402	0.3383846436
28	0.7187429573	0.337585521
29	0.7203551926	0.3361081861
30	0.7212682147	0.3351696932
31	0.7217959954	0.3343045432
32	0.7223237761	0.3335165819
33	0.7221740135	0.3325459659
34	0.7221812368	0.3320368884
35	0.7232512448	0.3315988403
36	0.7237077559	0.3312417182
37	0.7243997457	0.3303371266
38	0.7240145043	0.3296031833
39	0.7243284761	0.3291302418
40	0.7254697537	0.3285073454
41	0.7255482467	0.3280259989
42	0.7267039709	0.3272986758
43	0.7274672304	0.3267039906
44	0.7262402365	0.3261630571
45	0.7267752405	0.3259661424
46	0.7273030213	0.3251659544
47	0.7281447737	0.3249034171
48	0.7290650191	0.3243059352
49	0.7289080332	0.3238469198
50	0.7285300151	0.3233603173
51	0.730292013	0.3228906052
52	0.730827017	0.322255824
53	0.7319755179	0.321720664
54	0.7315902765	0.321378495
55	0.7309767796	0.3211543575
56	0.7315117836	0.3207047368
57	0.7309767796	0.3204398456
58	0.7319755179	0.3200595672
59	0.7322822664	0.3195847855
60	0.7328172704	0.3190622613
61	0.732432029	0.3187420763
62	0.7320540108	0.3184075498
63	0.7315902765	0.3181948849
64	0.7333522744	0.3177952107
65	0.7335092602	0.3176134576
66	0.7330455259	0.3170950364
67	0.7334307673	0.3168992654
68	0.7335805299	0.3166804694
69	0.734572045	0.3161584878
70	0.7348787934	0.3159809464
71	0.7350357793	0.3157049748
72	0.7356564995	0.3153658224
73	0.7355780066	0.3150732852
74	0.7357277692	0.3149477822
75	0.7361915035	0.3144520241
76	0.7359560247	0.3141098681
77	0.7360272944	0.3138761253
78	0.7361057873	0.3137483012
79	0.7363340428	0.3135384035
80	0.7364125358	0.3133351508
81	0.7367977772	0.312937566
82	0.7373327812	0.3126200309
83	0.7373327812	0.3123543353
84	0.7375610367	0.3121475274
85	0.7379462781	0.311775185
86	0.7377892922	0.3114255007
87	0.7379535014	0.3111405159
88	0.7388737468	0.310902431
89	0.7390235094	0.3105253239
90	0.7385669983	0.3102047028
91	0.7380392176	0.3097915822
92	0.7380392176	0.3095542677
93	0.7385742216	0.3092164548
94	0.739494467	0.3087114205
95	0.7387239842	0.3084361604
96	0.7398797084	0.3082686236
97	0.7410282093	0.3080106722
98	0.7416417062	0.3078054756
99	0.7416489295	0.3074416348
100	0.741955678	0.3072860518
101	0.741877185	0.3070996184
102	0.742412189	0.3067220388
103	0.7427974304	0.3065760655
104	0.7421839335	0.3063312019
105	0.742412189	0.3061478197
106	0.7421126638	0.3057374691
107	0.7424979052	0.3055341958
108	0.7421911568	0.3052635384
109	0.7429544163	0.3050391739
110	0.7426476678	0.3048446333
111	0.7420269476	0.3044142031
112	0.7430329092	0.304078191
113	0.7430329092	0.3037621408
114	0.7427261608	0.3033719029
115	0.7427261608	0.3032795167
116	0.7431114022	0.3029643165
117	0.7426548911	0.3026154689
118	0.7426548911	0.3023254516
119	0.7432683881	0.3019926072
120	0.7441173638	0.3017517702
121	0.7439603779	0.3015194837
122	0.7448021304	0.301189762
123	0.7444953819	0.3007198071
124	0.7448021304	0.3005152892
125	0.7448021304	0.3004216709
126	0.7458008687	0.3000786588
127	0.7464143657	0.2999027688
128	0.7462646031	0.2995819602
129	0.7459578546	0.2993389873
130	0.7459578546	0.2990592265
131	0.7462646031	0.2987119209
132	0.7468781	0.2984022531
133	0.7474203273	0.2980641506
134	0.7474203273	0.2978721002
135	0.7481908101	0.2975815254
136	0.7480338242	0.2972875415
137	0.7479553313	0.2970003816
138	0.7484190656	0.2965442262
139	0.7490325625	0.2963517386
140	0.7491823251	0.296030839
141	0.7487970837	0.2958023949
142	0.7497173291	0.2954737303
143	0.7493320877	0.2950627169
144	0.7493320877	0.2949008108
145	0.7493320877	0.2946444609
146	0.7492535948	0.2944396912
147	0.7492535948	0.2943825952
148	0.7498670917	0.2941454444
149	0.7498670917	0.2937938411
150	0.7505590816	0.2934425366
151	0.7505590816	0.2931250296
152	0.7510940856	0.292850961
153	0.750944323	0.2925980517
154	0.7507945604	0.2923361222
155	0.750409319	0.29197571
156	0.7504878119	0.2916684755
157	0.7506447978	0.2915598858
158	0.7507232907	0.2911786549
159	0.7508017837	0.2907984992
160	0.7508802766	0.2907381266
161	0.7508802766	0.2906303095
162	0.7511870251	0.2904562312
163	0.7514865503	0.2901225648
164	0.7515650432	0.2900689235
165	0.7517932987	0.2898396927
166	0.7517932987	0.2898019441
167	0.7517932987	0.2897290113
168	0.7521785401	0.2894659789
169	0.7521000472	0.289376829
170	0.7517932987	0.2891347466
171	0.7519502846	0.288768681
172	0.7520287775	0.2885691452
173	0.7524140189	0.2882537747
174	0.7527207674	0.2880368059
175	0.7529490229	0.2877066899
176	0.7534127573	0.2874575684
177	0.7536410128	0.287179252
178	0.7534127573	0.2868410275
179	0.7534127573	0.2867903947
180	0.7537979987	0.2864766498
181	0.7537979987	0.2864220015
182	0.7539549845	0.286168931
183	0.7539549845	0.2858409285
184	0.7539549845	0.2857517028
185	0.7539549845	0.2854894299
186	0.7541832401	0.2852394944
187	0.7546469744	0.2850709463
188	0.7539549845	0.2847129259
189	0.7539549845	0.2846408923
190	0.7536482361	0.2844621093
191	0.754261733	0.2842653638
192	0.7541832401	0.2840360539
193	0.754261733	0.2836927506
194	0.7545684815	0.2834806537
195	0.7546469744	0.2832968794
196	0.7551107087	0.2830319562
197	0.7551107087	0.282682803
198	0.7554174572	0.2826200466
199	0.755652936	0.2823888244
200	0.756266433	0.2820896322
201	0.7561094471	0.2818769863
202	0.7564946885	0.2817244224
203	0.756722944	0.2814393748
204	0.757257948	0.2811864479
205	0.7575719198	0.2809172638
206	0.7574934268	0.2806482234
207	0.7574934268	0.2803439076
208	0.7563449259	0.2800311929
209	0.7567301673	0.2797929584
210	0.7577289056	0.2793681938
211	0.7574221572	0.2791249828
212	0.7577289056	0.2789709844
213	0.7574221572	0.2788107027
214	0.7578073986	0.2787280744
215	0.7577289056	0.2785266869
216	0.7575006501	0.2782794095
217	0.75819264	0.2781051884
218	0.7586563743	0.277868184
219	0.7594981268	0.2776648108
220	0.7591201086	0.2774902445
221	0.7588133602	0.277347939
222	0.7588918531	0.2771662607
