iter	Passed	Remaining
0	9	9089
1	21	10649
2	32	10692
3	41	10266
4	54	10905
5	66	10993
6	75	10731
7	89	11046
8	103	11352
9	117	11610
10	128	11554
11	138	11411
12	151	11480
13	162	11459
14	173	11363
15	190	11735
16	204	11842
17	219	11979
18	230	11926
19	240	11774
20	253	11795
21	264	11762
22	273	11602
23	285	11628
24	299	11699
25	310	11622
26	321	11589
27	334	11603
28	345	11554
29	353	11443
30	365	11434
31	374	11340
32	385	11290
33	397	11296
34	406	11213
35	417	11185
36	428	11154
37	437	11086
38	449	11084
39	460	11042
40	469	10979
41	483	11032
42	495	11019
43	503	10944
44	515	10930
45	525	10888
46	534	10828
47	545	10825
48	555	10780
49	566	10762
50	579	10792
51	589	10743
52	601	10754
53	616	10794
54	630	10829
55	644	10866
56	662	10955
57	680	11050
58	696	11113
59	714	11197
60	729	11232
61	740	11208
62	750	11162
63	762	11147
64	773	11131
65	784	11106
66	813	11333
67	834	11431
68	857	11569
69	866	11515
70	880	11518
71	893	11518
72	910	11558
73	941	11778
74	966	11923
75	991	12049
76	1000	11996
77	1015	11999
78	1031	12026
79	1044	12009
80	1055	11969
81	1064	11922
82	1078	11911
83	1087	11863
84	1098	11820
85	1110	11799
86	1120	11758
87	1130	11715
88	1143	11699
89	1155	11678
90	1164	11633
91	1177	11619
92	1189	11600
93	1198	11555
94	1212	11549
95	1225	11535
96	1234	11492
97	1245	11465
98	1258	11451
99	1269	11424
100	1278	11378
101	1290	11361
102	1299	11320
103	1311	11297
104	1324	11285
105	1335	11264
106	1345	11228
107	1357	11212
108	1368	11184
109	1377	11147
110	1390	11137
111	1401	11111
112	1410	11072
113	1423	11060
114	1432	11020
115	1442	10990
116	1454	10973
117	1463	10938
118	1474	10914
119	1485	10893
120	1494	10854
121	1505	10838
122	1517	10816
123	1526	10785
124	1539	10774
125	1549	10746
126	1558	10713
127	1570	10700
128	1580	10672
129	1591	10649
130	1607	10665
131	1619	10650
132	1629	10622
133	1639	10598
134	1650	10577
135	1659	10543
136	1672	10535
137	1684	10523
138	1694	10495
139	1706	10479
140	1717	10464
141	1727	10435
142	1738	10417
143	1750	10405
144	1759	10375
145	1770	10356
146	1780	10333
147	1790	10306
148	1802	10294
149	1812	10269
150	1822	10244
151	1834	10234
152	1844	10209
153	1855	10195
154	1868	10185
155	1878	10164
156	1889	10143
157	1901	10132
158	1910	10105
159	1920	10084
160	1933	10074
161	1943	10051
162	1954	10036
163	1966	10024
164	1975	9998
165	1985	9975
166	1996	9960
167	2006	9934
168	2017	9922
169	2028	9905
170	2038	9880
171	2050	9873
172	2062	9858
173	2070	9829
174	2082	9816
175	2091	9791
176	2101	9771
177	2113	9761
178	2123	9738
179	2134	9723
180	2145	9706
181	2153	9680
182	2165	9670
183	2176	9651
184	2185	9627
185	2197	9617
186	2206	9594
187	2217	9578
188	2231	9573
189	2240	9551
190	2250	9531
191	2261	9516
192	2271	9496
193	2283	9486
194	2295	9477
195	2304	9454
196	2315	9439
197	2327	9428
198	2337	9408
199	2348	9392
200	2361	9385
201	2370	9366
202	2382	9352
203	2394	9341
204	2402	9318
205	2413	9304
206	2425	9291
207	2434	9268
208	2447	9261
209	2459	9253
210	2469	9233
211	2482	9228
212	2494	9218
213	2505	9203
214	2516	9186
215	2528	9178
216	2540	9167
217	2549	9145
218	2562	9137
219	2574	9127
220	2583	9105
221	2595	9096
222	2607	9085
223	2616	9063
224	2628	9054
225	2641	9045
226	2650	9026
227	2663	9016
228	2676	9010
229	2687	8996
230	2698	8981
231	2711	8976
232	2725	8971
233	2741	8973
234	2752	8959
235	2763	8945
236	2775	8935
237	2785	8917
238	2795	8901
239	2808	8893
240	2818	8875
241	2828	8859
242	2841	8852
243	2852	8838
244	2862	8820
245	2875	8814
246	2887	8803
247	2897	8785
248	2909	8776
249	2922	8766
250	2931	8748
251	2943	8735
252	2955	8727
253	2965	8709
254	2976	8695
255	2988	8685
256	2999	8672
257	3011	8660
258	3024	8652
259	3036	8641
260	3046	8624
261	3058	8615
262	3071	8606
263	3080	8587
264	3091	8573
265	3105	8568
266	3118	8562
267	3131	8552
268	3143	8542
269	3155	8531
270	3166	8517
271	3176	8502
272	3188	8490
273	3198	8473
274	3208	8458
275	3221	8449
276	3232	8436
277	3242	8420
278	3254	8411
279	3266	8399
280	3275	8381
281	3288	8372
282	3299	8358
283	3309	8344
284	3321	8333
285	3334	8324
286	3345	8310
287	3357	8299
288	3370	8291
289	3380	8276
290	3390	8261
291	3403	8251
292	3415	8240
293	3424	8222
294	3436	8212
295	3447	8200
296	3456	8181
297	3468	8170
298	3479	8158
299	3489	8142
300	3503	8134
301	3515	8124
302	3526	8112
303	3537	8099
304	3551	8092
305	3563	8081
306	3572	8063
307	3585	8055
308	3596	8043
309	3605	8025
310	3618	8017
311	3632	8009
312	3641	7993
313	3653	7981
314	3667	7974
315	3678	7963
316	3688	7946
317	3700	7936
318	3712	7925
319	3721	7909
320	3735	7901
321	3749	7894
322	3761	7883
323	3771	7868
324	3785	7862
325	3798	7854
326	3810	7841
327	3820	7827
328	3833	7818
329	3845	7807
330	3855	7792
331	3867	7780
332	3878	7769
333	3888	7753
334	3900	7742
335	3912	7731
336	3922	7716
337	3932	7702
338	3945	7692
339	3954	7676
340	3966	7664
341	3978	7654
342	3986	7636
343	3998	7625
344	4010	7614
345	4021	7602
346	4033	7590
347	4045	7580
348	4057	7567
349	4066	7552
350	4078	7540
351	4087	7525
352	4098	7511
353	4111	7502
354	4121	7487
355	4132	7474
356	4144	7464
357	4156	7453
358	4166	7440
359	4180	7431
360	4192	7421
361	4201	7405
362	4213	7393
363	4224	7381
364	4233	7365
365	4245	7353
366	4257	7342
367	4266	7327
368	4277	7315
369	4289	7303
370	4298	7287
371	4310	7277
372	4321	7264
373	4330	7248
374	4342	7237
375	4352	7223
376	4362	7208
377	4374	7197
378	4385	7185
379	4396	7172
380	4410	7166
381	4422	7154
382	4431	7139
383	4445	7131
384	4458	7122
385	4468	7108
386	4479	7095
387	4491	7083
388	4500	7068
389	4511	7056
390	4524	7046
391	4533	7031
392	4543	7017
393	4556	7008
394	4565	6993
395	4576	6979
396	4588	6969
397	4597	6954
398	4609	6943
399	4621	6932
400	4632	6919
401	4642	6905
402	4654	6895
403	4664	6881
404	4674	6867
405	4686	6856
406	4696	6843
407	4708	6831
408	4724	6826
409	4738	6818
410	4747	6804
411	4759	6793
412	4771	6781
413	4781	6767
414	4793	6757
415	4805	6746
416	4816	6734
417	4826	6719
418	4838	6709
419	4849	6697
420	4859	6683
421	4872	6673
422	4883	6660
423	4892	6646
424	4904	6635
425	4916	6624
426	4925	6609
427	4937	6599
428	4949	6587
429	4957	6572
430	4970	6561
431	4980	6549
432	4991	6535
433	5003	6525
434	5014	6512
435	5023	6497
436	5035	6487
437	5044	6473
438	5055	6460
439	5067	6449
440	5077	6435
441	5087	6422
442	5099	6411
